d,PP
0.013123393,0.525059666
0.017713482,1.813842482
0.023465004,3.53221957
0.031976121,5.810285045
0.040480188,7.995431416
0.051824633,10.72491475
0.065754937,13.40545774
0.080234951,16.48132432
0.103970336,19.97396398
0.130151505,23.72765344
0.159307039,27.52120202
0.19499377,31.27662449
0.236009519,35.14404242
0.282462837,38.96141982
0.334284412,42.68994976
0.394979197,46.79439881
0.437687174,49.84676646
0.506482746,53.43742964
0.579546787,57.29769892
0.663150879,61.1865628
0.758815507,65.04683208
0.858584526,68.75840951
0.948373107,72.64073748
1.099200146,76.58188859
1.229834438,80.39068762
1.360628412,84.23380015
1.505332441,88.35142072
1.735431968,93.89171583
2.013422285,100
